Date,Close,High,Low,Open,Volume
2016-03-14,42614.80078125,42932.80078125,42296.80078125,42932.80078125,106446
2016-03-15,42190.80078125,42826.80078125,42190.80078125,42614.80078125,135180
2016-03-16,45583.0,46378.1015625,43462.8984375,43462.8984375,349502
2016-03-17,47650.1015625,48233.19921875,45583.0,45583.0,220774
2016-03-18,47438.1015625,48233.19921875,46643.1015625,48233.19921875,84145
2016-03-21,48498.19921875,48657.19921875,47226.1015625,47438.1015625,83579
2016-03-22,48074.19921875,48551.19921875,47279.1015625,48498.19921875,168791
2016-03-23,47703.1015625,48233.19921875,47438.1015625,48233.19921875,213590
2016-03-24,49293.19921875,49823.30078125,47703.1015625,47703.1015625,183686
2016-03-28,50088.30078125,50618.30078125,48233.19921875,48233.19921875,235743
2016-03-29,50459.30078125,51943.3984375,50088.30078125,50088.30078125,264162
2016-03-30,49717.30078125,50883.3984375,49452.30078125,50830.30078125,138104
2016-03-31,48233.19921875,49823.30078125,48233.19921875,49823.30078125,337010
2016-04-01,46643.1015625,48233.19921875,46643.1015625,48233.19921875,177858
2016-04-04,45848.0,47173.1015625,45848.0,46643.1015625,163801
2016-04-05,46113.0,46113.0,45000.0,45848.0,226702
2016-04-06,45901.0,46908.1015625,45583.0,46643.1015625,88504
2016-04-07,46113.0,46378.1015625,45848.0,46113.0,67543
2016-04-08,48233.19921875,48763.19921875,46113.0,46378.1015625,154903
2016-04-11,49823.30078125,50247.30078125,48233.19921875,48233.19921875,163782
2016-04-12,49293.19921875,50830.30078125,49293.19921875,50830.30078125,88673
2016-04-13,47809.1015625,49293.19921875,47703.1015625,49293.19921875,199232
2016-04-14,47968.19921875,48498.19921875,47862.19921875,47915.19921875,110936
2016-04-15,47968.19921875,47968.19921875,47968.19921875,47968.19921875,0
2016-04-18,47968.19921875,47968.19921875,47968.19921875,47968.19921875,0
2016-04-19,47968.19921875,47968.19921875,47968.19921875,47968.19921875,0
2016-04-20,48339.19921875,48763.19921875,47862.19921875,48763.19921875,95465
2016-04-21,49717.30078125,50300.30078125,48339.19921875,48392.19921875,164080
2016-04-22,52897.5,53533.5,49823.30078125,49823.30078125,418297
2016-04-26,55388.6015625,55653.69921875,54063.6015625,55653.69921875,105946
2016-04-27,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-04-28,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-04-29,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-05-02,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-05-03,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-05-04,55388.6015625,55388.6015625,55388.6015625,55388.6015625,0
2016-05-05,57508.80078125,58197.80078125,56713.69921875,57773.80078125,186984
2016-05-06,56607.69921875,57773.80078125,56501.69921875,57561.80078125,134029
2016-05-09,55918.69921875,57137.80078125,55653.69921875,55653.69921875,140402
2016-05-10,55918.69921875,55918.69921875,55918.69921875,55918.69921875,0
2016-05-11,69892.796875,69892.796875,69892.796875,69892.796875,0
2016-05-12,59624.19921875,59624.19921875,57305.3984375,57636.69921875,252849
2016-05-13,60419.1015625,61677.8984375,58299.19921875,58961.69921875,236598
2016-05-16,60419.1015625,60419.1015625,60419.1015625,60419.1015625,0
2016-05-17,60419.1015625,60419.1015625,60419.1015625,60419.1015625,0
2016-05-18,60419.1015625,60419.1015625,60419.1015625,60419.1015625,0
2016-05-19,60021.6015625,61479.1015625,59889.1015625,61214.1015625,232683
2016-05-20,60021.6015625,60021.6015625,60021.6015625,60021.6015625,0
2016-05-23,61677.8984375,62870.3984375,61611.6015625,61611.6015625,52529
2016-05-24,60949.1015625,62207.8984375,60949.1015625,61677.8984375,56909
2016-05-25,60352.8984375,61677.8984375,60286.6015625,60949.1015625,92409
2016-05-26,60551.6015625,60949.1015625,59955.3984375,59955.3984375,104014
2016-05-27,60087.8984375,61214.1015625,60087.8984375,60882.8984375,57270
2016-05-31,60750.3984375,61214.1015625,60286.6015625,60286.6015625,72303
2016-06-01,60286.6015625,60816.6015625,60286.6015625,60617.8984375,70412
2016-06-02,64857.80078125,64857.80078125,60617.8984375,60949.1015625,185980
2016-06-03,65719.1015625,67574.0,64924.1015625,67574.0,60257
2016-06-06,64327.80078125,65719.1015625,63002.8984375,65719.1015625,101512
2016-06-07,64261.6015625,65454.1015625,63069.1015625,63069.1015625,57646
2016-06-08,64592.80078125,65520.30078125,64592.80078125,65255.30078125,73607
2016-06-09,65387.80078125,65520.30078125,62274.1015625,64592.80078125,118583
2016-06-10,65255.30078125,65387.80078125,64261.6015625,65387.80078125,43413
2016-06-13,64261.6015625,64791.6015625,63930.30078125,64460.30078125,49827
2016-06-14,64924.1015625,65189.1015625,63599.1015625,63930.30078125,85556
2016-06-15,66249.1015625,68236.5,63201.6015625,63599.1015625,219242
2016-06-16,65652.796875,66580.296875,65586.6015625,65917.796875,168484
2016-06-17,64924.1015625,65520.30078125,64394.1015625,64990.30078125,119570
2016-06-20,67574.0,68832.796875,64592.80078125,64924.1015625,166734
2016-06-21,68170.296875,69230.296875,67574.0,67574.0,162893
2016-06-22,67574.0,68501.5,67044.0,68170.296875,56968
2016-06-23,68236.5,69230.296875,67044.0,67110.296875,58615
2016-06-24,66249.1015625,68037.796875,61412.8984375,67574.0,521419
2016-06-27,64924.1015625,66315.296875,63599.1015625,65586.6015625,120285
2016-06-28,65586.6015625,65652.796875,64261.6015625,64924.1015625,73049
2016-06-29,67507.796875,67905.296875,65454.1015625,65586.6015625,148671
2016-06-30,68899.0,70224.0,67574.0,68236.5,307796
2016-07-01,69892.796875,71217.703125,68899.0,68899.0,170808
2016-07-05,70555.203125,71681.5,70091.5,70886.5,129356
2016-07-06,70886.5,70886.5,69959.0,69959.0,239680
2016-07-07,72874.0,73536.5,70886.5,70886.5,210839
2016-07-08,72211.5,74265.203125,70886.5,72874.0,136354
2016-07-11,67971.5,71549.0,67905.296875,71549.0,317789
2016-07-12,68899.0,69694.0,67574.0,67839.0,150503
2016-07-13,70224.0,70754.0,68899.0,68899.0,65719
2016-07-14,68236.5,70224.0,68236.5,70224.0,179818
2016-07-15,66911.5,68170.296875,65387.80078125,67574.0,202510
2016-07-18,68170.296875,68236.5,66911.5,68236.5,42452
2016-07-19,67507.796875,68236.5,66249.1015625,68236.5,88865
2016-07-20,66182.796875,67309.0,66050.296875,66249.1015625,144651
2016-07-21,66249.1015625,69892.796875,66182.796875,66182.796875,135377
2016-07-22,66249.1015625,66315.296875,65255.30078125,66249.1015625,97718
2016-07-25,65387.80078125,67176.5,65321.6015625,66249.1015625,52038
2016-07-26,67242.796875,67507.796875,64924.1015625,66911.5,110975
2016-07-27,68369.0,68899.0,67242.796875,67574.0,110661
2016-07-28,68501.5,68899.0,67574.0,67574.0,67014
2016-07-29,69561.5,69561.5,68236.5,68236.5,63608
2016-08-01,68634.0,69694.0,66911.5,69561.5,104832
2016-08-02,66580.296875,67905.296875,66315.296875,67574.0,76552
2016-08-03,67441.5,67574.0,66249.1015625,66580.296875,70001
2016-08-04,66911.5,67905.296875,66911.5,67574.0,50185
2016-08-05,67574.0,67574.0,65255.30078125,66911.5,99318
2016-08-08,67574.0,72211.5,66447.796875,72211.5,37922
2016-08-09,70886.5,71880.203125,67574.0,67574.0,333313
2016-08-10,70356.5,71482.703125,70025.296875,70025.296875,106124
2016-08-11,71814.0,72145.203125,69694.0,69694.0,122029
2016-08-12,70820.203125,71814.0,70290.203125,71814.0,92543
2016-08-15,70754.0,70820.203125,69892.796875,70091.5,91074
2016-08-16,71416.5,72211.5,70820.203125,70886.5,195399
2016-08-17,76053.8984375,76848.8984375,71217.703125,71549.0,330630
2016-08-18,79233.8984375,79498.8984375,75987.703125,75987.703125,156265
2016-08-19,76848.8984375,79300.1015625,76318.8984375,79300.1015625,86679
2016-08-22,75788.8984375,76848.8984375,75523.8984375,76186.3984375,122236
2016-08-23,76716.3984375,77842.6015625,75788.8984375,75788.8984375,92985
2016-08-24,76848.8984375,77445.1015625,76186.3984375,76716.3984375,85758
2016-08-25,78836.3984375,78836.3984375,76848.8984375,76848.8984375,125013
2016-08-26,79167.6015625,81486.296875,77842.6015625,78173.8984375,90226
2016-08-29,78173.8984375,80956.3984375,78173.8984375,79167.6015625,108408
2016-08-30,80161.3984375,80161.3984375,78041.3984375,78173.8984375,69621
2016-08-31,81155.1015625,81353.796875,79565.1015625,80293.8984375,75079
2016-09-01,83473.796875,83473.796875,81486.296875,81486.296875,148814
2016-09-02,83473.796875,83473.796875,83473.796875,83473.796875,0
2016-09-06,86786.296875,86786.296875,84136.296875,84136.296875,140545
2016-09-07,87316.296875,88773.703125,85461.296875,86786.296875,79962
2016-09-08,87448.796875,88773.703125,86786.296875,87448.796875,63538
2016-09-09,85660.0,87780.0,85461.296875,87780.0,118824
2016-09-12,85063.796875,86786.296875,84798.796875,85660.0,70073
2016-09-13,86786.296875,87117.5,84732.5,84798.796875,67992
2016-09-14,87780.0,87780.0,86455.0,86455.0,70975
2016-09-15,91887.3984375,91887.3984375,88111.203125,88773.703125,132218
2016-09-16,95729.8984375,97386.1015625,92748.703125,92748.703125,130588
2016-09-19,94736.203125,99373.6015625,93411.203125,99373.6015625,90028
