date,title,push,boo,arrow,net,link
6/27,[情報] 2002 中鋼5月自結 稅前淨損9.1億,41,5,22,36,https://www.ptt.cc/bbs/Stock/M.1751011794.A.AE3.html
6/27,[新聞] 新台幣28字頭了！狂升1.67角至28.998 續,16,1,11,15,https://www.ptt.cc/bbs/Stock/M.1750991907.A.C83.html
6/27,[新聞] 新台幣見28字頭！現在可以便宜買美元嗎？,51,3,46,48,https://www.ptt.cc/bbs/Stock/M.1750992213.A.7EF.html
6/27,[新聞] 港口塞滿新車、庫存壓力大　車商傳7月祭,32,3,25,29,https://www.ptt.cc/bbs/Stock/M.1750992669.A.04A.html
6/27,[新聞] 台幣強升...壽險業5月稅前虧千億 機械業,25,16,32,9,https://www.ptt.cc/bbs/Stock/M.1750992868.A.DFD.html
6/27,[心得] 為什麼要升值? 直接吃關稅不就好了?,178,32,167,爆,https://www.ptt.cc/bbs/Stock/M.1750992879.A.9C5.html
6/27,Re: [新聞] 新台幣見28字頭！現在可以便宜買美元嗎？,24,8,42,15,https://www.ptt.cc/bbs/Stock/M.1750993760.A.A1D.html
6/27,Re: [新聞] 新台幣28字頭快到！今開盤升2.5角、盤中2,29,8,53,20,https://www.ptt.cc/bbs/Stock/M.1750993786.A.889.html
6/27,Re: [標的] 2330台積電 王者歸來 一千五百多,6,13,13,,https://www.ptt.cc/bbs/Stock/M.1750994333.A.111.html
6/27,[新聞] 錢櫃併好樂迪涉內線　錢櫃營運長、好樂迪,16,1,11,15,https://www.ptt.cc/bbs/Stock/M.1750994642.A.517.html
6/27,[新聞] 新台幣「28字頭」了　謝金河：拉大產業差,27,4,31,23,https://www.ptt.cc/bbs/Stock/M.1750995303.A.7C9.html
6/27,[請益] 台幣升值但股票一直漲，有不好嗎,65,22,90,43,https://www.ptt.cc/bbs/Stock/M.1750995525.A.782.html
6/27,Re: [新聞] 新台幣28字頭快到！今開盤升2.5角、盤中2,48,23,106,25,https://www.ptt.cc/bbs/Stock/M.1750995784.A.D91.html
6/27,[標的] 匯率暑假航空多,36,4,56,32,https://www.ptt.cc/bbs/Stock/M.1750996474.A.E94.html
6/27,[新聞] 市場憂債市賣壓…美債ETF贖回潮 恐推升台,50,3,49,47,https://www.ptt.cc/bbs/Stock/M.1750996724.A.CFE.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,72,11,71,61,https://www.ptt.cc/bbs/Stock/M.1750997274.A.4E7.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,42,3,45,38,https://www.ptt.cc/bbs/Stock/M.1750998709.A.5F1.html
6/27,[新聞] 墾丁訂房率慘 新任觀光署長陳玉秀：數字,90,16,66,74,https://www.ptt.cc/bbs/Stock/M.1750999667.A.7EA.html
6/27,[新聞] 專家：近期台幣升勢如瘋狗浪 下半年回貶,12,5,8,7,https://www.ptt.cc/bbs/Stock/M.1751000510.A.2F8.html
6/27,[請益] 如何去除台股的雜質，選出優質股？,54,28,24,27,https://www.ptt.cc/bbs/Stock/M.1750981804.A.106.html
6/27,[新聞] 低基期傳產 資金轉進,11,2,5,9,https://www.ptt.cc/bbs/Stock/M.1750982688.A.55F.html
6/27,Re: [新聞] 快訊／川普：美中25日已簽署貿易協議　將,14,0,22,14,https://www.ptt.cc/bbs/Stock/M.1750983328.A.F2B.html
6/27,[閒聊] 2025/06/27 盤中閒聊,861,122,505,98,https://www.ptt.cc/bbs/Stock/M.1750984206.A.2B5.html
6/27,[新聞] 美商務部長：美中貿易休戰協議已簽署,18,2,32,16,https://www.ptt.cc/bbs/Stock/M.1750984257.A.234.html
6/27,[新聞] 群創子公司 CarUX 337億元收購日商 Pion,4,0,7,4,https://www.ptt.cc/bbs/Stock/M.1750984425.A.3C7.html
6/27,[新聞] 雲豹能源違反重大訊息規定 證交所處3萬,77,39,41,37,https://www.ptt.cc/bbs/Stock/M.1750984814.A.E17.html
6/27,[新聞] 美光報喜 力成獨拿封測委外大單,2,3,7,,https://www.ptt.cc/bbs/Stock/M.1750985168.A.B13.html
6/27,[新聞] 參院周末將表決稅改案！美低收入民眾反對,25,4,25,21,https://www.ptt.cc/bbs/Stock/M.1750985170.A.404.html
